利多
外資買超
MSCI
季底作帳
三大法人買超
月營收增加
蘋概股
產能擴充
創歷史新高
題材
獨家
漲價
供不應求
產能吃緊
營收創新高
毛利率創新高
AI
網通
高殖利率
降息
低本益比
i8
美股大漲
低於淨值
新產能開出
概念股
換機潮
挖礦
外資大買
稅制改革
超乎預期
外資轉買為賣
激烈競爭
工安意外
停工
緊縮貨幣
天災
弊案
侵權
外資大賣
營收不如預期
聯發科
除息
